"Bidder #","Certificates Bid For","Certificates Awarded","Lien Value of Awards","High Bid Premium of Awards","Total Due for Awards"
11,1,1,2260.64,0.00,2260.64
12,55,17,30282.23,0.00,30282.23
13,50,5,17717.00,0.00,17717.00
30,4,3,3745.48,0.00,3745.48
38,24,8,44077.44,0.00,44077.44
59,3,1,353.23,0.00,353.23
60,2,1,313.28,0.00,313.28
70,3,1,347.22,0.00,347.22
77,59,40,46973.78,0.00,46973.78
81,13,11,78516.52,0.00,78516.52
87,5,3,1223.46,0.00,1223.46
92,6,4,5288.17,0.00,5288.17
121,4,2,20303.50,0.00,20303.50
123,4,1,1661.72,0.00,1661.72
129,2,1,542.10,0.00,542.10
147,35,12,134968.00,0.00,134968.00
149,52,5,16820.97,0.00,16820.97
151,52,5,13262.58,0.00,13262.58
159,2,2,1503.00,0.00,1503.00
160,44,36,199329.57,0.00,199329.57
169,1,1,4024.54,0.00,4024.54
176,5,3,5928.96,0.00,5928.96
179,10,3,6458.13,0.00,6458.13
182,14,5,4679.17,0.00,4679.17
186,36,9,49467.99,0.00,49467.99
191,6,6,26668.93,0.00,26668.93
195,3,2,9149.77,0.00,9149.77
196,7,3,28882.68,0.00,28882.68
197,4,2,20192.72,0.00,20192.72
202,1,1,332.46,0.00,332.46
210,2,1,11676.21,0.00,11676.21
215,2,1,6780.64,0.00,6780.64
221,9,3,8645.29,0.00,8645.29
227,24,7,38954.16,0.00,38954.16
231,2,2,2257.17,0.00,2257.17
235,50,20,26828.33,0.00,26828.33
238,2,2,1692.55,0.00,1692.55
243,6,2,8169.56,0.00,8169.56
245,4,1,7024.81,0.00,7024.81
246,52,10,33417.61,0.00,33417.61
257,5,1,18617.52,0.00,18617.52
264,8,2,4175.28,0.00,4175.28
269,2,2,2924.27,0.00,2924.27
273,3,3,4910.11,0.00,4910.11
281,53,26,144811.36,0.00,144811.36
285,9,8,22521.34,0.00,22521.34
286,24,7,54944.43,0.00,54944.43
288,30,11,14924.90,0.00,14924.90
291,16,2,8166.95,0.00,8166.95
296,8,3,27113.85,0.00,27113.85
304,17,11,40061.82,0.00,40061.82
